Index,Object Name,URDF Path
0,potato_chip_2,objects/easy_setting/potato_chip_2/model.urdf
1,racquet_ball,objects/easy_setting/racquet_ball/model.urdf
2,YcbMasterChefCan,objects/easy_setting/YcbMasterChefCan/model.urdf
3,book_2,objects/easy_setting/book_2/model.urdf
4,potato_chip_3,objects/easy_setting/potato_chip_3/model.urdf
5,book_1,objects/easy_setting/book_1/model.urdf
6,YcbTomatoSoupCan,objects/easy_setting/YcbTomatoSoupCan/model.urdf
7,plastic_apple,objects/easy_setting/plastic_apple/model.urdf
8,square_plate_1,objects/easy_setting/square_plate_1/model.urdf
9,book_4,objects/easy_setting/book_4/model.urdf
10,stapler_2,objects/easy_setting/stapler_2/model.urdf
11,small_marker,objects/easy_setting/small_marker/model.urdf
12,lego_duplo_b,objects/easy_setting/lego_duplo_b/model.urdf
13,YcbChipsCan,objects/easy_setting/YcbChipsCan/model.urdf
14,soap,objects/easy_setting/soap/model.urdf
15,plastic_plum,objects/easy_setting/plastic_plum/model.urdf
16,softball,objects/easy_setting/softball/model.urdf
17,murbles_b,objects/easy_setting/murbles_b/model.urdf
18,pudding_box,objects/easy_setting/pudding_box/model.urdf
19,colored_wood_blocks,objects/easy_setting/colored_wood_blocks/model.urdf
20,sugar_box,objects/easy_setting/sugar_box/model.urdf
21,blue_tea_box,objects/easy_setting/blue_tea_box/model.urdf
22,YcbGelatinBox,objects/easy_setting/YcbGelatinBox/model.urdf
23,suger_3,objects/easy_setting/suger_3/model.urdf
24,orion_pie,objects/easy_setting/orion_pie/model.urdf
25,YcbCrackerBox,objects/easy_setting/YcbCrackerBox/model.urdf
26,YcbStrawberry,objects/easy_setting/YcbStrawberry/model.urdf
27,plastic_orange,objects/easy_setting/plastic_orange/model.urdf
28,lipton_tea,objects/easy_setting/lipton_tea/model.urdf
29,gelatin_box,objects/easy_setting/gelatin_box/model.urdf
30,pink_tea_box,objects/easy_setting/pink_tea_box/model.urdf
31,YcbFoamBrick,objects/easy_setting/YcbFoamBrick/model.urdf
32,rubik_cube,objects/easy_setting/rubik_cube/model.urdf
33,square_plate_3,objects/easy_setting/square_plate_3/model.urdf
34,black_marker,objects/easy_setting/black_marker/model.urdf
35,book_6,objects/easy_setting/book_6/model.urdf
36,blue_marker,objects/easy_setting/blue_marker/model.urdf
37,book_5,objects/easy_setting/book_5/model.urdf
38,plastic_lemon,objects/easy_setting/plastic_lemon/model.urdf
39,plastic_peach,objects/easy_setting/plastic_peach/model.urdf
40,wood_block,objects/easy_setting/wood_block/model.urdf
41,golf ball,objects/easy_setting/golf ball/model.urdf
42,poker_1,objects/easy_setting/poker_1/model.urdf
43,book_3,objects/easy_setting/book_3/model.urdf
44,square_plate_2,objects/easy_setting/square_plate_2/model.urdf
45,Tuna_fish_can,objects/easy_setting/Tuna_fish_can/model.urdf
46,YcbPottedMeatCan,objects/easy_setting/YcbPottedMeatCan/model.urdf
47,square_plate_4,objects/easy_setting/square_plate_4/model.urdf
48,sponge,objects/easy_setting/sponge/model.urdf
49,mini_soccer_ball,objects/easy_setting/mini_soccer_ball/model.urdf
50,YcbTennisBall,objects/easy_setting/YcbTennisBall/model.urdf
51,potato_chip_1,objects/easy_setting/potato_chip_1/model.urdf
52,suger_1,objects/easy_setting/suger_1/model.urdf
53,dice,objects/easy_setting/dice/model.urdf
