Index,Object Name,URDF Path
0,red_marker,objects/hard_setting/red_marker/model.urdf
1,YcbPowerDrill,objects/hard_setting/YcbPowerDrill/model.urdf
2,yellow_cup,objects/hard_setting/yellow_cup/model.urdf
3,YcbPear,objects/hard_setting/YcbPear/model.urdf
4,plate_holder,objects/hard_setting/plate_holder/model.urdf
5,round_plate_1,objects/hard_setting/round_plate_1/model.urdf
6,spoon,objects/hard_setting/spoon/model.urdf
7,YcbMediumClamp,objects/hard_setting/YcbMediumClamp/model.urdf
8,doraemon_bowl,objects/hard_setting/doraemon_bowl/model.urdf
9,extra_large_clamp,objects/hard_setting/extra_large_clamp/model.urdf
10,magic_clean,objects/hard_setting/magic_clean/model.urdf
11,knife,objects/hard_setting/knife/model.urdf
12,plastic_banana,objects/hard_setting/plastic_banana/model.urdf
13,YcbScissors,objects/hard_setting/YcbScissors/model.urdf
14,shampoo,objects/hard_setting/shampoo/model.urdf
15,mini_claw_hammer_1,objects/hard_setting/mini_claw_hammer_1/model.urdf
16,repellent,objects/hard_setting/repellent/model.urdf
17,book_holder_2,objects/hard_setting/book_holder_2/model.urdf
18,large_clamp,objects/hard_setting/large_clamp/model.urdf
19,remote_controller_1,objects/hard_setting/remote_controller_1/model.urdf
20,small_clamp,objects/hard_setting/small_clamp/model.urdf
21,two_color_hammer,objects/hard_setting/two_color_hammer/model.urdf
22,YcbMustardBottle,objects/hard_setting/YcbMustardBottle/model.urdf
23,flat_screwdriver,objects/hard_setting/flat_screwdriver/model.urdf
24,conditioner,objects/hard_setting/conditioner/model.urdf
25,round_plate_4,objects/hard_setting/round_plate_4/model.urdf
26,toothpaste_1,objects/hard_setting/toothpaste_1/model.urdf
27,pen_container_1,objects/hard_setting/pen_container_1/model.urdf
28,YcbHammer,objects/hard_setting/YcbHammer/model.urdf
29,grey_plate,objects/hard_setting/grey_plate/model.urdf
30,bowl,objects/hard_setting/bowl/model.urdf
31,stapler_1,objects/hard_setting/stapler_1/model.urdf
32,YcbBanana,objects/hard_setting/YcbBanana/model.urdf
33,fork,objects/hard_setting/fork/model.urdf
34,green_cup,objects/hard_setting/green_cup/model.urdf
35,remote_controller_2,objects/hard_setting/remote_controller_2/model.urdf
36,glue_2,objects/hard_setting/glue_2/model.urdf
37,cleanser,objects/hard_setting/cleanser/model.urdf
38,round_plate_2,objects/hard_setting/round_plate_2/model.urdf
39,blue_plate,objects/hard_setting/blue_plate/model.urdf
40,plate,objects/hard_setting/plate/model.urdf
41,pitcher,objects/hard_setting/pitcher/model.urdf
42,medium_clamp,objects/hard_setting/medium_clamp/model.urdf
43,green_bowl,objects/hard_setting/green_bowl/model.urdf
44,yellow_bowl,objects/hard_setting/yellow_bowl/model.urdf
45,doraemon_plate,objects/hard_setting/doraemon_plate/model.urdf
46,blue_cup,objects/hard_setting/blue_cup/model.urdf
47,round_plate_3,objects/hard_setting/round_plate_3/model.urdf
48,suger_2,objects/hard_setting/suger_2/model.urdf
49,glue_1,objects/hard_setting/glue_1/model.urdf
50,large_marker,objects/hard_setting/large_marker/model.urdf
51,book_holder_3,objects/hard_setting/book_holder_3/model.urdf
52,book_holder_1,objects/hard_setting/book_holder_1/model.urdf
53,mug,objects/hard_setting/mug/model.urdf
54,orange_cup,objects/hard_setting/orange_cup/model.urdf
55,bleach_cleanser,objects/hard_setting/bleach_cleanser/model.urdf
56,soap_dish,objects/hard_setting/soap_dish/model.urdf
57,correction_fuid,objects/hard_setting/correction_fuid/model.urdf
58,phillips_screwdriver,objects/hard_setting/phillips_screwdriver/model.urdf
59,blue_moon,objects/hard_setting/blue_moon/model.urdf
