Index,Object Name,URDF Path
0,YcbMediumClamp,Irregular-Object-Packing/objects/ycb_objects/YcbMediumClamp/model.urdf
1,YcbScissors,Irregular-Object-Packing/objects/ycb_objects/YcbScissors/model.urdf
2,YcbCrackerBox,Irregular-Object-Packing/objects/ycb_objects/YcbCrackerBox/model.urdf
3,YcbFoamBrick,Irregular-Object-Packing/objects/ycb_objects/YcbFoamBrick/model.urdf
4,YcbGelatinBox,Irregular-Object-Packing/objects/ycb_objects/YcbFoamBrick/YcbGelatinBox/model.urdf
5,YcbHammer,Irregular-Object-Packing/objects/ycb_objects/YcbHammer/model.urdf
6,YcbMustardBottle,Irregular-Object-Packing/objects/ycb_objects/YcbMustardBottle/model.urdf
7,YcbStrawberry,Irregular-Object-Packing/objects/ycb_objects/YcbStrawberry/model.urdf
8,YcbChipsCan,Irregular-Object-Packing/objects/ycb_objects/YcbChipsCan/model.urdf
9,YcbPottedMeatCan,Irregular-Object-Packing/objects/ycb_objects/YcbPottedMeatCan/model.urdf
10,YcbTomatoSoupCan,Irregular-Object-Packing/objects/ycb_objects/YcbTomatoSoupCan/model.urdf
11,YcbBanana,Irregular-Object-Packing/objects/ycb_objects/YcbBanana/model.urdf
12,YcbPear,Irregular-Object-Packing/objects/ycb_objects/YcbPear/model.urdf
13,YcbTennisBall,Irregular-Object-Packing/objects/ycb_objects/YcbTennisBall/model.urdf
14,YcbPowerDrill,Irregular-Object-Packing/objects/ycb_objects/YcbPowerDrill/model.urdf
15,YcbMasterChefCan,Irregular-Object-Packing/objects/ycb_objects/YcbMasterChefCan/model.urdf
16,book_3,Irregular-Object-Packing/objects/OCRTOC _objects/book_3/model.urdf
17,remote_controller_2,Irregular-Object-Packing/objects/OCRTOC _objects/remote_controller_2/model.urdf
18,book_holder_3,Irregular-Object-Packing/objects/OCRTOC _objects/book_holder_3/model.urdf
19,orion_pie,Irregular-Object-Packing/objects/OCRTOC _objects/orion_pie/model.urdf
20,plastic_banana,Irregular-Object-Packing/objects/OCRTOC _objects/plastic_banana/model.urdf
